"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","docker-swarm-worker-1",,,,"User:","ubuntu"
"Cmdline:","dstat -N ens3 --output 2-cassandra-swarm-3-ContainerIPs_NET-ens3-docker-swarm-worker-1.csv --noheaders --noupdate 5",,,,"Date:","19 Sep 2017 10:59:50 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/ens3",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
0.964,0.393,98.430,0.179,0.0,0.034,66669.672,259398.082,0.0,0.0,0.0,0.0,390.899,764.422
0.402,0.602,98.996,0.0,0.0,0.0,1638.400,0.0,1557.400,1607.200,0.0,0.0,570.400,1129.0
0.101,0.101,99.697,0.0,0.0,0.101,0.0,16384.0,1361.0,1303.600,0.0,0.0,493.600,977.800
0.502,0.201,99.097,0.100,0.0,0.100,0.0,18841.600,1552.400,2458.800,0.0,0.0,503.800,995.200
0.702,0.401,98.796,0.100,0.0,0.0,0.0,6553.600,2729.0,2624.200,0.0,0.0,591.400,1155.200
0.503,0.503,98.994,0.0,0.0,0.0,819.200,19660.800,15302.400,14888.600,0.0,0.0,635.600,1246.800
0.603,0.302,98.995,0.101,0.0,0.0,0.0,9011.200,1563.400,1501.200,0.0,0.0,500.800,997.400
0.302,0.201,99.396,0.101,0.0,0.0,0.0,4096.0,1251.200,1349.600,0.0,0.0,497.0,988.200
0.502,0.301,99.097,0.0,0.0,0.100,0.0,4096.0,1690.800,1618.200,0.0,0.0,516.400,1017.0
0.302,0.704,98.894,0.101,0.0,0.0,0.0,4096.0,1802.200,2642.0,0.0,0.0,620.600,1227.400
0.502,0.301,99.097,0.100,0.0,0.0,0.0,4096.0,2537.0,2027.600,0.0,0.0,532.200,1051.0
0.403,0.202,99.294,0.0,0.0,0.101,0.0,8192.0,3425.400,3304.600,0.0,0.0,563.0,1119.600
0.602,0.402,98.896,0.100,0.0,0.0,0.0,13107.200,1807.800,1848.0,0.0,0.0,506.200,1006.400
0.403,0.403,99.093,0.101,0.0,0.0,0.0,9011.200,1762.200,1793.600,0.0,0.0,551.800,1092.600
0.402,0.301,99.197,0.0,0.0,0.100,0.0,4096.0,1387.800,1435.800,0.0,0.0,474.200,934.800
0.302,0.201,99.396,0.101,0.0,0.0,0.0,4915.200,2597.600,3436.200,0.0,0.0,529.800,1044.600
0.402,0.201,99.296,0.101,0.0,0.0,0.0,4096.0,2273.600,2099.800,0.0,0.0,509.600,1005.800
0.404,0.505,98.991,0.0,0.0,0.101,0.0,8192.0,2110.600,2139.800,0.0,0.0,605.800,1196.800
1.002,0.401,98.497,0.100,0.0,0.0,0.0,4915.200,1514.600,1346.200,0.0,0.0,506.600,1003.0
0.702,0.301,98.897,0.100,0.0,0.0,0.0,13107.200,1263.200,1299.800,0.0,0.0,498.400,997.800
0.402,0.302,99.296,0.0,0.0,0.0,0.0,14745.600,1381.400,1406.200,0.0,0.0,502.800,1002.800
0.602,0.301,98.996,0.100,0.0,0.0,0.0,7372.800,1337.400,2305.400,0.0,0.0,535.0,1061.400
0.403,0.202,99.395,0.0,0.0,0.0,0.0,4915.200,1528.600,1300.800,0.0,0.0,540.600,1074.400
0.402,0.201,99.197,0.100,0.0,0.100,0.0,4096.0,3669.400,3483.600,0.0,0.0,499.600,987.800
0.302,0.101,99.597,0.0,0.0,0.0,0.0,4096.0,1551.400,1274.400,0.0,0.0,478.400,949.0
0.504,0.302,99.094,0.101,0.0,0.0,0.0,4096.0,1654.200,1644.200,0.0,0.0,575.400,1148.600
0.201,0.302,99.296,0.101,0.0,0.101,0.0,8192.0,1548.800,1543.400,0.0,0.0,477.200,952.600
0.301,0.402,99.197,0.100,0.0,0.0,0.0,11468.800,2140.200,3036.600,0.0,0.0,482.0,950.800
0.602,0.201,99.197,0.0,0.0,0.0,0.0,9011.200,2587.800,2356.800,0.0,0.0,501.600,990.200
