"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","docker-swarm-manager",,,,"User:","ubuntu"
"Cmdline:","dstat -N ens3 --output 2-cassandra-swarm-3-ContainerIPs_NET-ens3-docker-swarm-manager.csv --noheaders --noupdate 5",,,,"Date:","19 Sep 2017 10:59:32 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/ens3",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
0.882,0.554,98.352,0.203,0.0,0.009,69186.139,95165.367,0.0,0.0,0.0,0.0,268.979,538.355
0.799,0.400,98.801,0.0,0.0,0.0,1638.400,7372.800,1028.600,643.400,0.0,0.0,298.800,616.400
1.102,0.701,98.096,0.100,0.0,0.0,0.0,13107.200,1864.400,1737.600,0.0,0.0,251.600,496.400
0.502,0.401,99.097,0.0,0.0,0.0,0.0,16384.0,1489.0,596.400,0.0,0.0,335.400,671.0
0.799,0.200,98.901,0.100,0.0,0.0,0.0,9830.400,1115.600,1898.0,0.0,0.0,254.200,524.0
0.402,0.201,99.398,0.0,0.0,0.0,0.0,4915.200,597.0,574.800,0.0,0.0,275.400,573.200
0.401,0.301,99.198,0.100,0.0,0.0,0.0,4915.200,516.200,441.600,0.0,0.0,198.200,400.800
0.500,0.600,98.800,0.100,0.0,0.0,0.0,4915.200,983.800,536.0,0.0,0.0,309.0,632.0
0.402,0.402,98.996,0.100,0.0,0.100,0.0,4915.200,2210.600,1791.0,0.0,0.0,293.0,588.600
0.501,0.601,98.798,0.100,0.0,0.0,0.0,6553.600,14168.600,13419.200,0.0,0.0,364.800,738.0
0.999,0.599,98.402,0.0,0.0,0.0,0.0,14745.600,520.800,1329.400,0.0,0.0,200.0,405.400
0.600,0.400,98.900,0.100,0.0,0.0,0.0,7372.800,598.800,553.0,0.0,0.0,274.400,559.800
3.116,1.106,95.678,0.101,0.0,0.0,0.0,4915.200,2401.800,1974.400,0.0,0.0,413.400,780.0
1.996,1.198,96.806,0.0,0.0,0.0,0.0,13926.400,1412.600,1143.200,0.0,0.0,311.200,607.800
0.700,0.700,98.400,0.100,0.0,0.100,0.0,4915.200,1973.400,1960.600,0.0,0.0,295.0,567.400
0.602,0.401,98.897,0.100,0.0,0.0,0.0,4915.200,14331.0,13406.600,0.0,0.0,340.800,696.400
0.701,0.501,98.799,0.0,0.0,0.0,0.0,7372.800,658.400,1413.400,0.0,0.0,253.800,523.0
0.700,0.300,98.900,0.100,0.0,0.0,0.0,23756.800,547.600,469.0,0.0,0.0,283.0,581.800
1.001,0.400,98.498,0.100,0.0,0.0,0.0,13926.400,1036.0,1041.600,0.0,0.0,217.200,437.400
0.501,0.401,99.098,0.0,0.0,0.0,0.0,8192.0,823.400,563.800,0.0,0.0,286.200,578.400
0.601,0.601,98.697,0.100,0.0,0.0,0.0,4915.200,13860.800,13349.200,0.0,0.0,306.200,621.0
0.601,0.401,98.898,0.100,0.0,0.0,0.0,4915.200,1414.800,818.200,0.0,0.0,341.200,704.800
0.300,0.601,99.099,0.0,0.0,0.0,0.0,4915.200,664.600,1410.200,0.0,0.0,199.200,411.400
1.403,0.200,98.297,0.100,0.0,0.0,0.0,4915.200,574.0,531.800,0.0,0.0,265.400,574.200
0.401,0.601,98.998,0.0,0.0,0.0,0.0,6553.600,495.800,447.800,0.0,0.0,245.200,497.200
0.401,0.502,99.097,0.0,0.0,0.0,0.0,14745.600,983.0,544.200,0.0,0.0,306.800,630.0
0.797,0.498,98.606,0.100,0.0,0.0,0.0,8192.0,1785.0,1521.800,0.0,0.0,229.800,452.0
0.907,0.302,98.790,0.0,0.0,0.0,0.0,4915.200,1484.400,573.0,0.0,0.0,348.200,694.600
0.501,0.501,98.898,0.100,0.0,0.0,0.0,4915.200,569.0,1352.600,0.0,0.0,267.600,543.0
0.502,0.301,99.097,0.100,0.0,0.0,0.0,4915.200,502.0,490.0,0.0,0.0,296.600,609.0
0.500,0.400,99.100,0.0,0.0,0.0,0.0,4915.200,585.0,529.0,0.0,0.0,204.0,421.400
0.402,0.302,99.296,0.0,0.0,0.0,0.0,819.200,783.400,564.200,0.0,0.0,307.200,623.200
0.600,0.600,98.600,0.100,0.0,0.100,0.0,9830.400,1662.200,1417.600,0.0,0.0,288.600,569.800
0.701,0.601,98.699,0.0,0.0,0.0,0.0,8192.0,1484.600,599.600,0.0,0.0,337.0,678.200
0.699,0.299,98.902,0.100,0.0,0.0,0.0,4915.200,1054.400,1845.400,0.0,0.0,199.400,406.200
1.202,0.301,98.497,0.0,0.0,0.0,0.0,4915.200,668.600,596.0,0.0,0.0,280.600,572.200
0.401,0.601,98.898,0.100,0.0,0.0,0.0,4915.200,465.400,431.600,0.0,0.0,248.200,508.400
0.701,0.200,98.998,0.100,0.0,0.0,0.0,4915.200,958.200,506.0,0.0,0.0,304.800,633.800
0.600,0.500,98.800,0.100,0.0,0.0,819.200,6553.600,1998.200,1759.200,0.0,0.0,246.600,497.200
0.700,0.500,98.700,0.100,0.0,0.0,0.0,15564.800,1218.400,528.600,0.0,0.0,309.0,627.0
0.702,0.502,98.796,0.0,0.0,0.0,0.0,12288.0,965.400,1641.200,0.0,0.0,290.800,573.800
0.502,0.702,98.696,0.100,0.0,0.0,0.0,9830.400,1242.400,976.200,0.0,0.0,325.800,639.600
0.902,0.701,98.297,0.100,0.0,0.0,819.200,9830.400,1525.400,1501.600,0.0,0.0,268.800,509.800
1.508,0.503,97.990,0.0,0.0,0.0,0.0,9830.400,4525.0,1972.800,0.0,0.0,430.200,825.400
0.802,0.802,98.195,0.201,0.0,0.0,0.0,11468.800,3712.800,2622.400,0.0,0.0,372.200,721.400
0.501,0.501,98.899,0.100,0.0,0.0,0.0,6553.600,936.400,543.600,0.0,0.0,320.200,664.400
0.699,0.400,98.801,0.100,0.0,0.0,0.0,15564.800,1328.800,2081.400,0.0,0.0,227.800,444.800
1.602,0.300,97.898,0.200,0.0,0.0,0.0,9830.400,479.400,432.800,0.0,0.0,268.800,554.800
0.802,0.802,98.295,0.100,0.0,0.0,0.0,13107.200,1379.600,1306.600,0.0,0.0,302.400,590.800
0.501,0.401,99.098,0.0,0.0,0.0,0.0,0.0,989.800,532.200,0.0,0.0,297.800,610.200
1.202,0.301,98.397,0.100,0.0,0.0,0.0,4915.200,1900.600,1807.600,0.0,0.0,242.0,476.600
0.503,0.402,99.095,0.0,0.0,0.0,0.0,4915.200,1963.0,1118.800,0.0,0.0,338.200,700.400
0.699,0.599,98.601,0.100,0.0,0.0,0.0,6553.600,614.200,1377.0,0.0,0.0,245.0,506.200
0.699,0.599,98.603,0.100,0.0,0.0,0.0,20480.0,693.0,610.800,0.0,0.0,301.200,607.600
0.502,0.100,99.398,0.0,0.0,0.0,0.0,9011.200,469.0,420.600,0.0,0.0,189.0,401.200
0.501,0.701,98.699,0.100,0.0,0.0,0.0,9011.200,13054.400,12755.200,0.0,0.0,367.400,733.400
0.602,0.502,98.897,0.0,0.0,0.0,0.0,5734.400,1608.600,1372.0,0.0,0.0,282.600,575.800
0.502,0.402,98.996,0.100,0.0,0.0,0.0,4915.200,1668.800,803.0,0.0,0.0,359.0,738.0
1.200,0.400,98.400,0.0,0.0,0.0,0.0,4915.200,1072.0,1914.200,0.0,0.0,209.200,421.600
0.401,0.401,99.098,0.100,0.0,0.0,0.0,5734.400,593.400,568.400,0.0,0.0,269.800,556.0
0.601,0.601,98.799,0.0,0.0,0.0,0.0,11468.800,1019.800,1045.200,0.0,0.0,251.0,495.0
0.402,0.201,99.296,0.101,0.0,0.0,0.0,8192.0,1026.800,581.800,0.0,0.0,274.800,574.200
0.500,0.500,98.901,0.100,0.0,0.0,0.0,4915.200,1755.600,1532.800,0.0,0.0,212.400,426.800
0.601,0.501,98.798,0.100,0.0,0.0,0.0,4915.200,1806.600,1238.0,0.0,0.0,342.800,695.600
0.602,0.402,98.996,0.0,0.0,0.0,0.0,4915.200,1244.0,2004.0,0.0,0.0,260.400,525.400
0.501,0.400,98.999,0.100,0.0,0.0,0.0,4915.200,545.600,505.200,0.0,0.0,270.800,555.200
1.100,0.300,98.500,0.100,0.0,0.0,0.0,6553.600,464.800,498.200,0.0,0.0,213.400,432.400
