"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","docker-swarm-worker-2",,,,"User:","ubuntu"
"Cmdline:","dstat -N ens3 --output 2-cassandra-swarm-3-ContainerIPs_NET-ens3-docker-swarm-worker-2.csv --noheaders --noupdate 5",,,,"Date:","19 Sep 2017 10:59:54 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/ens3",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
1.283,0.528,97.946,0.205,0.0,0.038,68156.468,260270.653,0.0,0.0,0.0,0.0,410.578,803.050
1.004,0.602,98.293,0.100,0.0,0.0,1638.400,17203.200,1698.0,1675.400,0.0,0.0,485.200,948.400
1.113,0.202,98.583,0.0,0.0,0.101,0.0,0.0,2244.600,2225.0,0.0,0.0,592.800,1185.0
0.810,0.607,98.583,0.0,0.0,0.0,0.0,7372.800,3164.0,3228.600,0.0,0.0,550.0,1083.200
0.808,0.404,98.586,0.101,0.0,0.101,0.0,25395.200,15113.200,14882.200,0.0,0.0,692.200,1372.0
0.405,0.405,99.089,0.101,0.0,0.0,0.0,11468.800,1817.400,1774.0,0.0,0.0,490.600,973.600
0.606,0.909,98.283,0.0,0.0,0.202,0.0,13107.200,2874.200,2504.200,0.0,0.0,642.200,1294.0
1.317,0.507,97.974,0.101,0.0,0.101,0.0,4096.0,1738.800,1689.200,0.0,0.0,578.800,1151.200
1.520,0.405,97.974,0.0,0.0,0.101,0.0,4096.0,2425.600,2479.0,0.0,0.0,602.200,1206.0
0.404,0.404,98.991,0.101,0.0,0.101,0.0,4096.0,2313.800,2425.200,0.0,0.0,460.600,921.400
0.709,0.506,98.684,0.0,0.0,0.101,0.0,3276.800,2800.600,3023.0,0.0,0.0,676.600,1352.400
0.507,0.608,98.886,0.0,0.0,0.0,819.200,21299.200,2432.800,2407.800,0.0,0.0,556.600,1089.0
0.405,0.507,98.987,0.101,0.0,0.0,0.0,10649.600,2183.0,1774.200,0.0,0.0,658.800,1335.0
0.606,0.505,98.889,0.0,0.0,0.0,0.0,4096.0,1273.0,1246.400,0.0,0.0,463.200,927.400
0.910,0.607,98.180,0.101,0.0,0.202,0.0,4915.200,1906.0,1886.0,0.0,0.0,658.0,1309.0
0.609,0.507,98.884,0.0,0.0,0.0,0.0,4096.0,2472.0,2328.800,0.0,0.0,579.0,1143.400
0.709,0.608,98.683,0.0,0.0,0.0,0.0,8192.0,27510.400,27278.400,0.0,0.0,719.200,1435.200
0.504,0.604,98.792,0.101,0.0,0.0,0.0,4915.200,1292.600,1354.800,0.0,0.0,452.800,903.600
1.212,0.404,98.182,0.101,0.0,0.101,0.0,13926.400,1806.200,1517.400,0.0,0.0,633.800,1257.400
0.910,0.404,98.686,0.0,0.0,0.0,0.0,7372.800,1572.200,1525.400,0.0,0.0,562.0,1119.0
0.606,0.505,98.687,0.101,0.0,0.101,0.0,4096.0,2309.200,2307.0,0.0,0.0,620.600,1241.400
1.211,0.303,98.385,0.0,0.0,0.101,0.0,4096.0,2766.200,2729.800,0.0,0.0,526.200,1039.600
0.810,0.506,98.684,0.0,0.0,0.0,0.0,7372.800,2705.0,2938.0,0.0,0.0,670.800,1344.400
0.506,0.506,98.787,0.101,0.0,0.101,0.0,4915.200,2448.400,2455.0,0.0,0.0,561.0,1124.400
0.605,0.706,98.589,0.101,0.0,0.0,0.0,4096.0,1549.600,1422.200,0.0,0.0,569.800,1153.0
0.403,0.504,99.094,0.0,0.0,0.0,0.0,10649.600,1284.600,1268.600,0.0,0.0,445.400,884.0
0.710,0.304,98.884,0.101,0.0,0.0,0.0,7372.800,1513.0,1490.0,0.0,0.0,606.0,1217.400
1.110,0.605,98.184,0.0,0.0,0.101,0.0,0.0,2263.800,2289.400,0.0,0.0,531.600,1045.600
0.607,0.404,98.989,0.0,0.0,0.0,0.0,7372.800,2316.200,2388.400,0.0,0.0,609.200,1222.600
0.706,0.302,98.891,0.0,0.0,0.101,0.0,4915.200,1524.800,1490.0,0.0,0.0,477.400,951.200
0.506,0.506,98.888,0.101,0.0,0.0,0.0,4915.200,1968.400,1594.400,0.0,0.0,600.0,1217.400
0.707,0.505,98.687,0.0,0.0,0.101,0.0,4096.0,1597.600,1597.600,0.0,0.0,527.0,1067.600
1.317,0.608,97.974,0.101,0.0,0.0,0.0,12288.0,2330.0,2309.800,0.0,0.0,610.0,1208.600
1.010,0.505,98.384,0.101,0.0,0.0,0.0,8192.0,2583.0,2652.0,0.0,0.0,507.400,1003.800
0.608,0.405,98.886,0.0,0.0,0.101,0.0,4096.0,2444.800,2862.800,0.0,0.0,643.200,1293.0
